,id,brand,name_korean,wish_count,review_count,change_percentage,change_value,highest_bid,last_sale_price,lowest_ask,market_price,pricepremium,pricepremium_percentage,total_sales,min_size,max_size,colorway,date_released,gender,local_price,local_price_currency,local_price_with_currency,name,original_price,original_price_currency,original_price_with_currency,style_code
517,15066,Nike,나이키 SB 덩크 로우 라이벌 팩 (이스트),273,19,28.2143,79000,240000,359000,300000,359000,232600,184.019,28,215,320,Binary Blue/White-Gum Light Brown,2018-05-12T23:59:59Z,men,125800,KRW,"125,800원",Nike SB Dunk Low Rivals Pack (East),100,USD,$100 ,883232-441
518,14355,Nike,나이키 SB 덩크 하이 안티히어로 브라이언 앤더슨 블랙,32,1,,,200000,,220000,,,,0,215,310,Black/Black-Anthracite-Gum Medium Brown,2018-03-16T23:59:59Z,men,138400,KRW,"138,400원",Nike SB Dunk High Antihero Brian Anderson Black,110,USD,$110 ,AH9613-001
519,33604,Nike,나이키 덩크 로우 플라이니트 화이트 울프 그레이,335,6,4.7619,10000,139000,220000,220000,220000,67500,44.2623,85,230,320,White/Wolf Grey-Black,2017-07-14T00:00:00Z,men,151000,KRW,"151,000원",Nike Dunk Low Flyknit White Wolf Grey,120,USD,$120 ,917746-100
520,26703,Nike,나이키 SB 덩크 하이 리스 포브스 데님,73,3,-33.1104,-99000,,200000,300000,200000,67500,50.9434,4,220,320,Midnight Navy/University Red-White,2017-02-23T00:00:00Z,men,138400,KRW,"138,400원",Nike SB Dunk High Reese Forbes Denim,110,USD,$110 ,881758-441
521,9430,Nike,나이키 SB 줌 덩크 로우 프로 리버스 샤크,222,4,0,0,350000,300000,395000,300000,184400,159.516,7,215,310,Team Red/Nightshade-White,2017-01-26T23:59:59Z,men,113200,KRW,"113,200원",Nike SB Zoom Dunk Low Pro Reverse Shark,90,USD,$90 ,854866-336
522,7853,Nike,나이키 덩크 SB 로우 오렌지 박스,213,8,0,0,750000,700000,1200000,700000,578200,474.713,8,215,310,Safety Orange/White-Cream,2016-10-06T23:59:59Z,men,125800,KRW,"125,800원",Nike Dunk SB Low Orange Box,100,USD,$100 ,313170-811
523,7386,Nike,나이키 덩크 하이 시라큐스,139,19,-54.5455,-240000,120000,200000,450000,200000,45300,29.2825,4,215,310,White/Orange-Blaze,2016-07-29T23:59:59Z,men,151000,KRW,"151,000원",Nike Dunk High Syracuse,120,USD,$120 ,850477-101
524,7230,Nike,나이키 덩크 하이 레트로 QS 세인트 존스,258,8,-25,-100000,250000,300000,320000,300000,155500,107.612,6,215,310,White/University Red,2016-07-01T23:59:59Z,men,151000,KRW,"151,000원",Nike Dunk High Retro QS St. John's,120,USD,$120 ,850477-102
525,7060,Nike,나이키 SB 덩크 로우 이셔드 웨어 타이다이,62,0,10,25000,,275000,450000,275000,168700,158.702,3,215,310,Black/White-Multi-Color,2016-06-01T23:59:59Z,men,119500,KRW,"119,500원",Nike SB Dunk Low Ishod Wair Tie Dye,95,USD,$95 ,819674-019
526,6977,Nike,나이키 코비 애스톤 마틴 팩 ,41,1,0.566038,9000,,1599000,5500000,1599000,1217500,319.135,2,215,310,Anthracite/Black-Sail,2016-05-14T23:59:59Z,men,377500,KRW,"377,500원",Nike Kobe Aston Martin Pack,300,USD,$300 ,402638-001
527,6963,Nike,나이키 덩크 하이 미시간,197,9,5.88235,10000,100000,180000,240000,180000,36200,25.1739,5,220,310,Varsity Maize/Midnight Navy,2016-05-13T23:59:59Z,men,151000,KRW,"151,000원",Nike Dunk High Michigan,120,USD,$120 ,850477-700
528,44007,Nike,나이키 x 리카르도 티시 덩크 럭스 하이 블랙 화이트,141,1,-30.8696,-71000,180000,159000,190000,159000,-246500,-60.7892,6,230,320,Black/White,2016-02-11T00:00:00Z,men,415200,KRW,"415,200원",Nike x Riccardo Tisci Dunk Lux High Black White,330,USD,$330 ,841647-010
529,6403,Nike,나이키 SB 덩크 하이 체리 블라썸,78,5,136.842,390000,,675000,800000,675000,551500,446.559,6,215,310,Sail/Black-Light Crimson-White,2016-01-10T23:59:59Z,men,125800,KRW,"125,800원",Nike SB Dunk High Cherry Blossom,100,USD,$100 ,305050-106
530,5377,Nike,나이키 SB 덩크 로우 프리미엄 마티 맥플라이,107,0,10,50000,350000,550000,500000,550000,428200,351.56,2,220,310,Wolf Grey/White-Light Retro,2015-05-22T23:59:59Z,men,125800,KRW,"125,800원",Nike SB Dunk Low Premium Marty McFly,100,USD,$100 ,313170-022
